league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,home_possession,home_formation,home_opp_formation,away_possession,away_formation,away_opp_formation
3,2021,17781,2022-04-16 13:30:00,135,268,Freiburg,Bochum,BOC,FRE,0,0.1944,0,0.427462,0.427462,-2.029898,16.157894736842106,2,3,2.7015,3,2.45736,2.45736,2.029898,7.5,15,0.62,4-2-3-1,04/03/2003,0.38,04/03/2003,4-2-3-1
3,2021,17785,2022-04-16 13:30:00,129,131,Borussia Dortmund,Wolfsburg,WOL,DOR,0,0.5654,1,1.96018,1.96018,-1.3549299999999995,26.928571428571427,5,3,2.2613000000000003,6,3.31511,3.31511,1.3549299999999995,9.0,10,0.6,03/04/2003,03/04/2003,0.4,03/04/2003,03/04/2003
3,2021,17782,2022-04-16 16:30:00,130,134,Borussia Monchengladbach,Koln,COL,BMG,3,2.5078,3,3.01287,3.01287,1.81484,7.6923076923076925,4,0,0.3607,1,1.19803,1.19803,-1.81484,7.074074074074074,7,0.58,03/04/2003,4-2-3-1,0.42,4-2-3-1,03/04/2003
3,2021,17777,2022-04-17 13:30:00,262,117,Arminia Bielefeld,Bayern Munich,BAY,ARM,3,2.8954,3,3.49911,3.49911,3.035975,3.8260869565217392,23,0,0.0667,0,0.463135,0.463135,-3.035975,22.58823529411765,1,0.24,4-2-3-1,03/04/2003,0.76,03/04/2003,4-2-3-1
3,2021,17780,2022-04-17 15:30:00,120,267,Hoffenheim,Greuther Furth,GRE,HOF,1,0.6886000000000001,0,0.284206,0.284206,-0.6893959999999999,12.478260869565217,0,1,1.9462,0,0.973602,0.973602,0.6893959999999999,6.533333333333333,7,0.58,3-1-4-2,3-1-4-2,0.42,3-1-4-2,3-1-4-2
3,2021,17783,2022-04-17 15:30:00,240,132,Union Berlin,Eintracht Frankfurt,EIN,UNI,0,0.6656,0,0.513925,0.513925,-0.8056750000000001,10.95,4,3,2.0588,2,1.3196,1.3196,0.8056750000000001,11.172413793103448,10,0.44,03/05/2002,03/04/2003,0.56,03/04/2003,03/05/2002
3,2021,17784,2022-04-17 17:30:00,119,136,Bayer Leverkusen,RB Leipzig,RBL,LEV,3,1.0918,1,0.507455,0.507455,-0.221269,22.5,4,0,1.5025,0,0.728724,0.728724,0.221269,19.904761904761905,4,0.46,05/03/2002,03/05/2002,0.54,03/05/2002,05/03/2002
3,2021,17792,2022-04-22 18:30:00,131,125,Wolfsburg,Mainz,MAI,WOL,0,0.0432,0,0.613976,0.613976,-2.280844,46.0,2,3,2.9292,5,3.6526,2.89482,2.280844,9.545454545454543,10,0.6,04/03/2003,03/05/2002,0.4,03/05/2002,04/03/2003
3,2021,17786,2022-04-23 13:30:00,267,119,Greuther Furth,Bayer Leverkusen,LEV,GRE,3,2.125,4,2.11362,2.11362,0.93045,15.38888888888889,3,0,0.6559,1,1.18317,1.18317,-0.93045,15.68421052631579,5,0.52,3-4-1-2,4-2-2-2,0.48,4-2-2-2,3-4-1-2
3,2021,17788,2022-04-23 13:30:00,134,262,Koln,Arminia Bielefeld,ARM,COL,0,0.5415,1,0.740533,0.740533,-1.1745169999999998,6.357142857142857,4,3,2.2529999999999997,3,1.91505,1.91505,1.1745169999999998,8.0,11,0.55,4-2-3-1,04/04/2002,0.45,04/04/2002,4-2-3-1
3,2021,17790,2022-04-23 13:30:00,135,130,Freiburg,Borussia Monchengladbach,BMG,FRE,1,0.6359999999999999,3,1.52115,0.763372,-0.977928,27.727272727272727,5,1,2.1321,3,2.49907,1.7413,0.977928,8.75,5,0.62,4-4-1-1,05/03/2002,0.38,05/03/2002,4-4-1-1
3,2021,17791,2022-04-23 13:30:00,132,120,Eintracht Frankfurt,Hoffenheim,HOF,EIN,1,1.0934,2,0.757228,0.757228,-0.3081819999999999,17.235294117647058,9,1,1.5878,2,1.06541,1.06541,0.3081819999999999,10.666666666666666,5,0.49,03/04/2003,03/04/2003,0.51,03/04/2003,03/04/2003
3,2021,17793,2022-04-23 13:30:00,136,240,RB Leipzig,Union Berlin,UNI,RBL,3,2.421,2,1.93634,1.93634,1.3626839999999998,18.6875,7,0,0.3966,1,0.573656,0.573656,-1.3626839999999998,11.904761904761903,8,0.55,3-1-4-2,03/05/2002,0.45,03/05/2002,3-1-4-2
3,2021,17794,2022-04-23 16:30:00,117,129,Bayern Munich,Borussia Dortmund,DOR,BAY,0,0.6789000000000001,1,1.17213,0.414353,-1.608847,19.31578947368421,8,3,2.0696999999999997,3,2.0232,2.0232,1.608847,8.666666666666666,11,0.58,4-2-3-1,4-2-3-1,0.42,4-2-3-1,4-2-3-1
3,2021,17787,2022-04-24 13:30:00,268,121,Bochum,Augsburg,AUG,BOC,3,1.9911,2,1.99486,1.23708,0.05047,9.48,6,0,0.7752,0,1.18661,1.18661,-0.05047,7.181818181818182,3,0.59,04/03/2003,03/04/2003,0.41,03/04/2003,04/03/2003
3,2021,17789,2022-04-24 15:30:00,122,133,Hertha Berlin,Stuttgart,STU,HER,0,0.8161,0,0.451742,0.451742,-0.495662,13.538461538461538,6,3,1.8274,2,0.947404,0.947404,0.495662,12.76,4,0.42,4-2-3-1,04/03/2003,0.58,04/03/2003,4-2-3-1
3,2021,17801,2022-04-29 18:30:00,240,267,Union Berlin,Greuther Furth,GRE,UNI,1,0.6409,1,0.237425,0.237425,-0.620373,21.363636363636363,0,1,1.9876,1,0.857798,0.857798,0.620373,6.54054054054054,3,0.54,03/05/2002,3-4-1-2,0.46,3-4-1-2,03/05/2002
3,2021,17795,2022-04-30 13:30:00,262,122,Arminia Bielefeld,Hertha Berlin,HER,ARM,1,2.4547,1,1.66247,1.66247,1.259366,15.238095238095235,7,1,0.3559,1,0.403104,0.403104,-1.259366,6.387096774193548,6,0.55,4-2-3-1,4-2-3-1,0.45,4-2-3-1,4-2-3-1
3,2021,17796,2022-04-30 13:30:00,121,134,Augsburg,Koln,COL,AUG,3,2.2144999999999997,4,3.04059,2.28289,0.54664,4.888888888888889,13,0,0.6065,1,1.73625,1.73625,-0.54664,8.703703703703704,6,0.47,03/04/2003,4-1-3-2,0.53,4-1-3-2,03/04/2003
3,2021,17797,2022-04-30 13:30:00,125,117,Mainz,Bayern Munich,BAY,MAI,0,0.3185,1,1.23601,1.23601,-1.93626,4.285714285714286,7,3,2.552,3,3.17227,3.17227,1.93626,11.5,9,0.31,03/05/2002,4-2-3-1,0.69,4-2-3-1,03/05/2002
3,2021,17799,2022-04-30 13:30:00,133,131,Stuttgart,Wolfsburg,WOL,STU,1,1.6657000000000002,1,1.16064,1.16064,0.3339019999999999,11.461538461538462,0,1,1.0306,1,0.826738,0.826738,-0.3339019999999999,13.3125,9,0.57,03/04/2003,04/03/2003,0.43,04/03/2003,03/04/2003
3,2021,17803,2022-04-30 13:30:00,129,268,Borussia Dortmund,Bochum,BOC,DOR,3,0.5189999999999999,4,1.90488,1.14711,-0.67981,13.88888888888889,4,0,2.3121,3,3.34247,1.82692,0.67981,6.0,17,0.69,4-2-3-1,04/03/2003,0.31,04/03/2003,4-2-3-1
